iter	Passed	Remaining
282	442	1120
283	443	1116
284	443	1113
285	444	1109
286	444	1105
287	445	1101
288	446	1098
289	446	1094
290	447	1091
291	449	1088
292	450	1087
293	451	1085
294	453	1082
295	455	1082
296	455	1078
297	456	1075
298	457	1072
299	458	1068
300	458	1065
301	459	1061
302	460	1058
303	460	1055
304	461	1051
305	462	1048
306	464	1048
307	465	1046
308	467	1046
309	468	1043
310	469	1040
311	470	1036
312	470	1033
313	471	1030
314	472	1027
315	472	1023
316	473	1020
317	474	1017
318	474	1013
319	475	1010
320	476	1007
321	477	1004
322	479	1004
323	480	1002
324	482	1001
325	483	999
326	484	996
327	484	993
328	485	990
329	486	986
330	486	983
331	487	980
332	488	977
333	488	974
334	489	971
335	489	968
336	490	965
337	491	962
338	493	962
339	494	959
340	495	958
341	496	955
342	497	952
343	497	949
344	498	946
345	499	943
346	499	940
347	500	937
348	501	934
349	501	932
350	502	929
351	503	926
352	503	923
353	504	920
354	505	917
355	506	916
356	508	915
357	509	912
358	510	911
359	511	908
360	511	906
361	512	903
362	513	900
363	513	897
364	514	895
365	515	892
366	515	889
367	516	887
368	517	884
369	517	881
370	518	879
371	519	876
372	520	874
373	521	872
374	523	872
375	525	871
376	526	869
377	526	866
378	527	864
379	528	862
380	529	859
381	529	857
382	530	854
383	531	852
384	531	849
385	532	846
386	533	844
387	533	841
388	534	839
389	537	840
390	539	839
391	540	838
392	541	836
393	542	834
394	543	832
395	544	829
396	544	827
397	545	824
398	546	822
399	546	820
400	547	817
401	548	815
402	548	813
403	549	811
404	551	810
405	553	809
406	555	808
407	555	806
408	557	804
409	557	802
410	558	800
411	559	798
412	560	796
413	561	794
414	562	792
415	562	790
416	564	788
417	566	789
418	568	787
419	569	786
420	570	784
421	573	786
422	574	784
423	575	782
424	576	779
425	576	777
426	577	775
427	578	772
428	579	771
429	581	771
430	582	769
431	583	767
432	585	766
433	586	764
434	587	762
435	587	760
436	588	757
437	588	755
438	589	753
439	590	751
440	590	749
441	591	746
442	592	744
443	592	742
444	595	742
445	596	740
446	597	739
447	598	737
448	600	736
449	601	734
450	601	732
451	602	730
452	603	728
453	604	726
454	604	724
455	605	722
456	605	720
457	606	717
458	607	715
459	608	714
460	610	713
461	611	712
462	613	711
463	614	709
464	615	707
465	615	705
466	616	703
467	617	701
468	617	699
469	618	697
470	619	695
471	619	693
472	620	691
473	620	689
474	621	686
475	622	684
476	624	685
477	625	683
478	626	681
479	628	680
480	629	678
481	629	676
482	630	674
483	631	672
484	631	670
485	632	668
486	632	666
487	633	664
488	634	662
489	634	660
490	635	658
491	636	656
492	636	654
493	638	654
494	640	652
495	641	651
496	642	650
497	643	648
498	644	646
499	644	644
500	645	642
501	646	640
502	646	639
503	647	637
504	648	635
505	648	633
506	649	631
507	649	629
508	650	627
509	651	625
510	652	624
511	654	623
512	655	622
513	657	621
514	658	619
515	658	617
516	659	615
517	659	614
518	660	612
519	661	610
520	661	608
521	662	606
522	663	604
523	663	602
524	664	601
525	664	599
526	665	597
527	666	595
528	668	595
529	670	594
530	671	593
531	672	591
532	672	589
533	673	587
534	674	586
535	675	584
536	675	582
537	676	580
538	676	578
539	677	577
540	678	575
541	678	573
542	679	571
543	680	570
544	680	568
545	681	566
546	684	566
547	686	565
548	687	564
549	688	563
550	689	561
551	689	559
552	690	558
553	691	556
554	691	554
555	692	552
556	693	551
557	693	549
558	694	547
559	695	546
560	697	546
561	699	544
562	700	543
563	702	542
564	703	541
565	703	539
566	704	538
567	705	536
568	705	534
569	706	532
570	707	531
571	707	529
572	708	527
573	709	526
574	709	524
575	710	522
576	711	521
577	713	521
578	715	520
579	716	518
580	717	517
581	718	516
582	719	514
583	719	512
584	720	511
585	721	509
586	721	507
587	722	506
588	722	504
589	723	502
590	724	501
591	724	499
592	725	498
593	727	497
594	728	495
595	730	494
596	730	493
597	731	491
598	732	490
599	733	488
600	733	487
601	734	485
602	735	483
603	735	482
604	736	480
605	737	479
606	737	477
607	738	476
608	739	474
609	739	472
610	742	472
611	743	471
612	744	470
613	745	468
614	746	467
615	747	465
616	747	464
617	748	462
618	748	460
619	749	459
620	750	457
621	750	456
622	751	454
623	752	453
624	752	451
625	753	450
626	755	449
627	757	448
628	759	447
629	760	446
630	761	445
631	761	443
632	762	442
633	763	440
634	763	439
635	764	437
636	765	436
637	765	434
638	766	432
639	767	431
640	767	429
641	768	428
642	769	427
643	773	427
644	775	426
645	776	425
646	777	424
647	778	422
648	778	421
649	779	419
650	780	418
651	781	416
652	781	415
653	782	413
654	782	412
655	784	411
656	786	410
657	788	409
658	789	408
659	789	406
660	790	405
661	791	404
662	792	402
663	792	401
664	793	399
665	793	398
666	794	396
667	795	395
668	795	393
669	796	392
670	797	390
671	798	389
672	799	388
673	801	387
674	802	386
675	802	384
676	803	383
677	804	382
678	805	380
679	805	379
680	806	377
681	807	376
682	807	374
683	808	373
684	808	372
685	809	370
686	810	369
687	810	367
688	811	366
689	813	365
690	814	364
691	816	363
692	817	362
693	818	360
694	819	359
695	819	358
696	820	356
697	821	355
698	821	353
699	822	352
700	823	351
701	823	349
702	824	348
703	824	346
704	825	345
705	826	344
706	828	343
707	830	342
708	831	341
709	832	339
710	832	338
711	833	337
712	834	335
713	834	334
714	835	333
715	836	331
716	836	330
717	837	328
718	838	327
719	838	326
720	839	324
721	840	323
722	840	322
723	843	321
724	845	320
725	846	319
726	847	318
727	847	316
728	848	315
729	849	314
730	849	312
731	850	311
732	851	310
733	851	308
734	852	307
735	853	306
736	853	304
737	854	303
738	855	301
739	856	300
740	858	300
741	859	298
742	861	297
743	862	296
744	862	295
745	863	293
746	864	292
747	864	291
748	865	290
749	866	288
750	866	287
751	867	286
752	868	284
753	868	283
754	869	282
755	869	280
756	871	279
757	873	278
758	874	277
759	875	276
760	876	275
761	877	273
762	877	272
763	878	271
764	878	269
765	879	268
766	880	267
767	880	266
768	881	264
769	882	263
770	882	262
771	883	260
772	884	259
773	884	258
774	886	257
775	888	256
776	889	255
777	890	254
778	891	252
779	891	251
780	892	250
781	893	249
782	893	247
783	894	246
784	895	245
785	895	243
786	896	242
787	896	241
788	897	240
789	898	238
790	898	237
791	899	236
792	901	235
793	903	234
794	905	233
795	905	232
796	906	230
797	907	229
798	908	228
799	909	227
800	909	225
801	910	224
802	910	223
803	911	222
804	912	220
805	912	219
806	913	218
807	914	217
808	915	216
809	917	215
810	919	214
811	920	213
812	920	211
813	921	210
814	922	209
815	923	208
816	923	206
817	924	205
818	925	204
819	925	203
820	926	201
821	927	200
822	927	199
823	928	198
824	928	197
825	930	196
826	932	194
827	933	193
828	934	192
829	935	191
830	936	190
831	937	189
832	938	188
833	939	186
834	939	185
835	940	184
836	940	183
837	941	182
838	942	180
839	942	179
840	943	178
841	944	177
842	946	176
843	947	175
844	948	174
845	949	172
846	950	171
847	950	170
848	951	169
849	952	168
850	953	166
851	953	165
852	954	164
853	955	163
854	955	162
855	956	160
856	957	159
857	957	158
858	958	157
859	960	156
860	961	155
861	962	154
862	963	152
863	964	151
864	965	150
865	966	149
866	966	148
867	967	147
868	968	145
869	968	144
870	969	143
871	970	142
872	970	141
873	971	140
874	971	138
875	972	137
876	973	136
877	975	135
878	977	134
879	978	133
880	978	132
881	979	131
882	980	129
883	980	128
884	981	127
885	981	126
886	982	125
887	983	124
888	983	122
889	984	121
890	985	120
891	985	119
892	986	118
893	987	117
894	987	115
895	989	114
896	991	113
897	992	112
898	992	111
899	993	110
900	994	109
901	995	108
902	995	106
903	996	105
904	997	104
905	997	103
906	998	102
907	999	101
908	999	100
909	1000	98
910	1000	97
911	1001	96
912	1002	95
913	1004	94
914	1005	93
915	1006	92
916	1007	91
917	1008	90
918	1008	88
919	1009	87
920	1010	86
921	1010	85
922	1011	84
923	1012	83
924	1012	82
925	1013	80
926	1014	79
927	1014	78
928	1015	77
929	1016	76
930	1017	75
931	1019	74
932	1020	73
933	1021	72
934	1022	71
935	1023	69
936	1023	68
937	1024	67
938	1025	66
939	1025	65
940	1026	64
941	1027	63
942	1027	62
943	1028	61
944	1029	59
945	1029	58
946	1030	57
947	1030	56
948	1032	55
949	1033	54
950	1035	53
951	1036	52
952	1036	51
953	1037	50
954	1038	48
955	1039	47
956	1039	46
957	1040	45
958	1040	44
959	1041	43
960	1042	42
961	1042	41
962	1043	40
963	1044	38
964	1044	37
965	1045	36
966	1048	35
967	1050	34
968	1051	33
969	1052	32
970	1052	31
971	1053	30
972	1053	29
973	1054	28
974	1055	27
975	1056	25
976	1057	24
977	1057	23
978	1058	22
979	1059	21
980	1059	20
981	1060	19
982	1061	18
983	1062	17
984	1063	16
985	1063	15
986	1064	14
987	1066	12
988	1067	11
989	1067	10
990	1068	9
991	1069	8
992	1069	7
993	1070	6
994	1071	5
995	1071	4
996	1072	3
997	1073	2
998	1073	1
999	1074	0
